filename,filepath,song_label,participant_id,recording_type,take_number,sample_rate,num_channels,duration_seconds
S100_hum_2_Married.wav,data/MLEndHWII_sample_800/S100_hum_2_Married.wav,Married,S100,hum,2,44100,1,24.099433106575965
S100_whistle_2_Friend.wav,data/MLEndHWII_sample_800/S100_whistle_2_Friend.wav,Friend,S100,whistle,2,44100,1,25.200770975056688
S100_whistle_2_Happy.wav,data/MLEndHWII_sample_800/S100_whistle_2_Happy.wav,Happy,S100,whistle,2,44100,1,22.28546485260771
S100_whistle_2_RememberMe.wav,data/MLEndHWII_sample_800/S100_whistle_2_RememberMe.wav,RememberMe,S100,whistle,2,44100,1,22.544603174603175
S101_hum_1_Married.wav,data/MLEndHWII_sample_800/S101_hum_1_Married.wav,Married,S101,hum,1,44100,1,16.884126984126983
S101_hum_1_TryEverything.wav,data/MLEndHWII_sample_800/S101_hum_1_TryEverything.wav,TryEverything,S101,hum,1,44100,1,15.767369614512472
S101_hum_2_Friend.wav,data/MLEndHWII_sample_800/S101_hum_2_Friend.wav,Friend,S101,hum,2,44100,1,17.343968253968253
S101_hum_2_NewYork.wav,data/MLEndHWII_sample_800/S101_hum_2_NewYork.wav,NewYork,S101,hum,2,44100,1,17.343968253968253
S102_hum_2_Feeling.wav,data/MLEndHWII_sample_800/S102_hum_2_Feeling.wav,Feeling,S102,hum,2,44100,2,16.99700680272109
S102_hum_3_Happy.wav,data/MLEndHWII_sample_800/S102_hum_3_Happy.wav,Happy,S102,hum,3,44100,2,19.82984126984127
S102_hum_4_Necessities.wav,data/MLEndHWII_sample_800/S102_hum_4_Necessities.wav,Necessities,S102,hum,4,44100,2,17.39174603174603
S102_hum_4_RememberMe.wav,data/MLEndHWII_sample_800/S102_hum_4_RememberMe.wav,RememberMe,S102,hum,4,44100,2,18.808163265306124
S103_hum_1_Necessities.wav,data/MLEndHWII_sample_800/S103_hum_1_Necessities.wav,Necessities,S103,hum,1,44100,2,25.774761904761906
S103_hum_3_RememberMe.wav,data/MLEndHWII_sample_800/S103_hum_3_RememberMe.wav,RememberMe,S103,hum,3,44100,2,35.65775510204082
S103_hum_4_Friend.wav,data/MLEndHWII_sample_800/S103_hum_4_Friend.wav,Friend,S103,hum,4,44100,2,32.33439909297052
S103_hum_4_Happy.wav,data/MLEndHWII_sample_800/S103_hum_4_Happy.wav,Happy,S103,hum,4,44100,2,25.19426303854875
S104_hum_1_Feeling.wav,data/MLEndHWII_sample_800/S104_hum_1_Feeling.wav,Feeling,S104,hum,1,44100,2,35.74482993197279
S104_hum_2_NewYork.wav,data/MLEndHWII_sample_800/S104_hum_2_NewYork.wav,NewYork,S104,hum,2,44100,2,19.113537414965986
S104_whistle_1_Married.wav,data/MLEndHWII_sample_800/S104_whistle_1_Married.wav,Married,S104,whistle,1,44100,2,29.70764172335601
S104_whistle_2_Necessities.wav,data/MLEndHWII_sample_800/S104_whistle_2_Necessities.wav,Necessities,S104,whistle,2,44100,2,30.476802721088436
S105_hum_2_Feeling.wav,data/MLEndHWII_sample_800/S105_hum_2_Feeling.wav,Feeling,S105,hum,2,44100,2,19.33122448979592
