filename,filepath,song_label,participant_id,split
S100_hum_2_Married.wav,data/MLEndHWII_sample_800/S100_hum_2_Married.wav,Married,S100,train
S100_whistle_2_Friend.wav,data/MLEndHWII_sample_800/S100_whistle_2_Friend.wav,Friend,S100,val
S100_whistle_2_Happy.wav,data/MLEndHWII_sample_800/S100_whistle_2_Happy.wav,Happy,S100,test
S100_whistle_2_RememberMe.wav,data/MLEndHWII_sample_800/S100_whistle_2_RememberMe.wav,RememberMe,S100,val
S101_hum_1_Married.wav,data/MLEndHWII_sample_800/S101_hum_1_Married.wav,Married,S101,train
S101_hum_1_TryEverything.wav,data/MLEndHWII_sample_800/S101_hum_1_TryEverything.wav,TryEverything,S101,val
S101_hum_2_Friend.wav,data/MLEndHWII_sample_800/S101_hum_2_Friend.wav,Friend,S101,train
S101_hum_2_NewYork.wav,data/MLEndHWII_sample_800/S101_hum_2_NewYork.wav,NewYork,S101,train
S102_hum_2_Feeling.wav,data/MLEndHWII_sample_800/S102_hum_2_Feeling.wav,Feeling,S102,train
S102_hum_3_Happy.wav,data/MLEndHWII_sample_800/S102_hum_3_Happy.wav,Happy,S102,test
S102_hum_4_Necessities.wav,data/MLEndHWII_sample_800/S102_hum_4_Necessities.wav,Necessities,S102,val
S102_hum_4_RememberMe.wav,data/MLEndHWII_sample_800/S102_hum_4_RememberMe.wav,RememberMe,S102,train
S103_hum_1_Necessities.wav,data/MLEndHWII_sample_800/S103_hum_1_Necessities.wav,Necessities,S103,train
S103_hum_3_RememberMe.wav,data/MLEndHWII_sample_800/S103_hum_3_RememberMe.wav,RememberMe,S103,test
S103_hum_4_Friend.wav,data/MLEndHWII_sample_800/S103_hum_4_Friend.wav,Friend,S103,test
S103_hum_4_Happy.wav,data/MLEndHWII_sample_800/S103_hum_4_Happy.wav,Happy,S103,test
S104_hum_1_Feeling.wav,data/MLEndHWII_sample_800/S104_hum_1_Feeling.wav,Feeling,S104,test
S104_hum_2_NewYork.wav,data/MLEndHWII_sample_800/S104_hum_2_NewYork.wav,NewYork,S104,val
S104_whistle_1_Married.wav,data/MLEndHWII_sample_800/S104_whistle_1_Married.wav,Married,S104,train
S104_whistle_2_Necessities.wav,data/MLEndHWII_sample_800/S104_whistle_2_Necessities.wav,Necessities,S104,train
S105_hum_2_Feeling.wav,data/MLEndHWII_sample_800/S105_hum_2_Feeling.wav,Feeling,S105,val
S105_whistle_2_Married.wav,data/MLEndHWII_sample_800/S105_whistle_2_Married.wav,Married,S105,test
S105_whistle_2_Necessities.wav,data/MLEndHWII_sample_800/S105_whistle_2_Necessities.wav,Necessities,S105,train
S105_whistle_2_RememberMe.wav,data/MLEndHWII_sample_800/S105_whistle_2_RememberMe.wav,RememberMe,S105,test
S106_hum_2_Married.wav,data/MLEndHWII_sample_800/S106_hum_2_Married.wav,Married,S106,train
S106_hum_2_RememberMe.wav,data/MLEndHWII_sample_800/S106_hum_2_RememberMe.wav,RememberMe,S106,train
S106_whistle_1_TryEverything.wav,data/MLEndHWII_sample_800/S106_whistle_1_TryEverything.wav,TryEverything,S106,train
S106_whistle_2_Friend.wav,data/MLEndHWII_sample_800/S106_whistle_2_Friend.wav,Friend,S106,train
